주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
150-1-000002,삼덕네거리남편주차장,공영,노상,대구광역시 중구 동덕로 80,대구광역시 중구 대봉동 654-1,69,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,100000,현금,,대구시설공단,053-1577-6446,35.861918,128.6035616,2022-06-02
150-2-000001,경상감영공원주차장,공영,노외,대구광역시 중구 경상감영길 99,대구광역시 중구 포정동 21,61,1,미시행,평일+토요일+공휴일,7:30,23:00,7:30,23:00,7:30,23:00,유료,30,800,10,400,,8000,100000,현금+카드,,대구시설공단,053-253-6444,35.87267548,128.5916854,2022-06-02
150-2-000003,서문주차장,공영,노외,대구광역시 중구 큰장로26길 45,대구광역시 중구 대신동 115-378,642,1,미시행,평일+토요일+공휴일,7:00,22:00,7:00,22:00,7:00,22:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-255-4451,35.86890863,128.580781,2022-06-02
150-2-000005,약령시서편주차장,공영,노외,대구광역시 중구 남성로 61,대구광역시 중구 동성로3가 35-13,17,1,미시행,평일,8:00,18:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,,현금+카드,,대구시설공단,053-1577-6446,35.86728621,128.5933752,2022-06-02
150-2-000007,국채보상운동기념공원주차장,공영,노외,대구광역시 중구 공평로10길 25,대구광역시 중구 동인동2가 42,507,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,,5000,80000,카드,,대구시설공단,053-426-7840,35.86844014,128.601702,2022-06-02
150-3-000006,시청광장주차장,공영,부설,대구광역시 중구 국채보상로131길 17,대구광역시 중구 동인동2가 2-1,146,1,5부제,평일,7:00,22:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,10000,,현금+카드,,대구시설공단,053-803-5604,35.8706474,128.6018016,2022-06-02
151-1-000004,귀빈예식장동편주차장,공영,노상,대구광역시 동구 동대구로 454,대구광역시 동구 신천동 296-5,41,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.87073052,128.6265483,2022-06-02
151-1-000005,동대구초등서편주차장,공영,노상,대구광역시 동구 아양로8길 36,대구광역시 동구 신암동 184-12,41,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,80000,현금,,대구시설공단,053-1577-6446,35.87889844,128.619885,2022-06-02
151-1-000007,동서식품동편주차장,공영,노상,대구광역시 동구 동부로 22길 46,대구광역시 동구 신천동 323-3,25,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.872691,128.6265879,2022-06-02
151-1-000008,동원빌딩앞주차장,공영,노상,대구광역시 동구 동부로 22길 27,대구광역시 동구 신천동 325-7,24,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,60000,현금,,대구시설공단,053-1577-6446,35.8741386,128.6270981,2022-06-02
151-1-000010,보성주택동서편주차장,공영,노상,대구광역시 동구 큰고개로 23,대구광역시 동구 신암동 136-168,50,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,3000,60000,현금,,대구시설공단,053-1577-6446,35.8858743,128.6238061,2022-06-02
151-1-000011,신암3동사무소동편주차장,공영,노상,대구광역시 동구 아양로8길 22-1,대구광역시 동구 신암3동 207-91,36,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,80000,현금,,대구시설공단,053-1577-6446,35.88000538,128.6190639,2022-06-02
151-1-000012,신천희망로주차장,공영,노상,대구광역시 동구 장등로 33,대구광역시 동구 신천3동 741,45,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,70000,현금,,대구시설공단,053-1577-6446,35.8704209,128.6232384,2022-06-02
151-1-000013,신천초교북편주차장,공영,노상,대구광역시 동구 송라로10길 21,대구광역시 동구 신천동 316-4,29,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,10000,100000,현금,,대구시설공단,053-1577-6446,35.872376,128.6212483,2022-06-02
151-1-000015,한전동대구지점앞주차장,공영,노상,대구광역시 동구 화랑로25길 5,대구광역시 동구 효목동 555,22,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,300,10,150,,3000,40000,현금,,대구시설공단,053-1577-6446,35.8746123,128.6401561,2022-06-02
151-1-000016,동호정형외과앞주차장,공영,노상,대구광역시 동구 금강로 5,대구광역시 동구 신서동 373-2,27,3,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,,4000,40000,현금,,대구시설공단,053-1577-6446,35.8673563,128.7244971,2022-06-02
151-1-000017,영남일보앞주차장,공영,노상,대구광역시 동구 동대구로 445,대구광역시 동구 신천3동 113-1,15,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,5000,80000,현금,,대구시설공단,053-1577-6446,35.8699325,128.6252865,2022-06-02
151-1-000018,동대구맞이주차장,공영,노상,대구광역시 동구 동대구로 550,대구광역시 동구 신암동 294,56,기타,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,10,1000,,50000,,현금+카드,,대구시설공단,053-956-1400,35.87943614,128.6287755,2022-06-02
151-2-000001,갓바위주차장,공영,노외,대구광역시 동구 갓바위로 227,대구광역시 동구 진인동 123-30,373,기타,미시행,평일+토요일+공휴일,7:00,18:00,7:00,18:00,7:00,18:00,유료,30,1000,,1000,,1000,,현금,월요일 휴무,대구시설공단,053-982-4857,35.9708814,128.7261682,2022-06-02
151-2-000002,공항1공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,80,3,미시행,평일+토요일+공휴일,6:00,23:00,6:00,23:00,6:00,23:00,유료,30,400,10,200,,4000,,카드,,대구시설공단,053-982-6444,35.8974446,128.637719,2022-06-02
151-2-000003,신천3동주차장,공영,노외,대구광역시 동구 송라로14길 46-2,대구광역시 동구 신천동 281-10,25,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금,,대구시설공단,053-1577-6446,35.874552,128.621271,2022-06-02
151-2-000019,공항2공영주차장,공영,노외,대구광역시 동구 해동로 6,대구광역시 동구 지저동 669-60,173,3,미시행,평일+토요일+공휴일,6:00,23:00,6:00,23:00,6:00,23:00,유료,30,400,10,200,,4000,,카드,,대구시설공단,053-982-6444,35.8974446,128.637719,2022-06-02
152-1-000003,대평리시장옆주차장,공영,노상,대구광역시 서구 문화로 217,대구광역시 서구 평리동 1621-7,49,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,300,10,150,,3000,40000,현금,,대구시설공단,053-1577-6446,35.8757472,128.5562845,2022-06-02
152-1-000004,북비산R서편주차장,공영,노상,대구광역시 서구 북비산로 301,대구광역시 서구 평리동 657-24,18,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,60000,현금,,대구시설공단,053-1577-6446,35.87963479,128.5661795,2022-06-02
152-1-000005,만평R남편주차장,공영,노상,대구광역시 서구 서대구로 376,대구광역시 서구 비산동 875,58,2,미시행,평일+토요일+공휴일,8:00,19:00,8:00,19:00,8:00,19:00,유료,30,300,10,150,,3000,40000,현금,,대구시설공단,053-1577-6446,35.8889988,128.562426,2022-06-02
152-2-000001,인동촌시장주차장,공영,노외,대구광역시 서구 북비산로 74길 8,대구광역시 서구 비산동 71-3,44,1,미시행,평일,12:00,21:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,10000,60000,현금+카드,,대구시설공단,053-1577-6446,35.87859788,128.573928,2022-06-02
152-2-000002,달서교하부주차장,공영,노외,대구광역시 서구 가르뱅이로6길,대구광역시 서구 이현동 423-3,80,기타,미시행,평일+토요일,0:00,23:59,0:00,23:59,0:00,0:00,유료,60,1000,,1000,,2000,40000,현금,,대구시설공단,053-1577-6446,35.88088315,128.5338376,2022-06-02
153-1-000002,남대구등기소앞주차장,공영,노상,대구광역시 남구 두류공원로 11,대구광역시 남구 대명동 1652,49,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,80000,현금,,대구시설공단,053-1577-6446,35.83966096,128.5752878,2022-06-02
153-2-000001,앞산공원주차장,공영,노외,대구광역시 남구 앞산순환로 574-45,대구광역시 남구 봉덕동 1566-1,73,기타,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,60,1000,,,,2000,,카드,월요일 휴무,대구시설공단,053-1577-6446,35.83082613,128.5889722,2022-06-02
154-1-000002,3공단로1주차장,공영,노상,대구광역시 북구 노원로 137,대구광역시 북구 노원동3가 252-3,30,2,미시행,평일,7:00,16:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,3000,60000,현금,,대구시설공단,053-1577-6446,35.8976528,128.5756284,2022-06-02
154-1-000003,3공단로2주차장,공영,노상,대구광역시 북구 3공단로 23,대구광역시 북구 노원동3가 252-1,25,2,미시행,평일,8:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,3000,60000,현금,,대구시설공단,053-1577-6446,35.8933243,128.5555699,2022-06-02
154-1-000004,경대북문건너편주차장,공영,노상,대구광역시 북구 대학로 95,대구광역시 북구 산격동 1329-4,39,2,미시행,평일+토요일,9:00,19:00,9:00,19:00,0:00,0:00,유료,30,600,10,300,,6000,80000,현금,,대구시설공단,053-1577-6446,35.893611,128.6101861,2022-06-02
154-1-000006,대구시체육회앞주차장,공영,노상,대구광역시 북구 고성로 182,대구광역시 북구 고성동2가 57-2,46,1,미시행,평일+토요일,9:00,19:00,9:00,19:00,0:00,0:00,유료,30,1000,10,500,,10000,100000,현금,,대구시설공단,053-1577-6446,35.8802592,128.5857137,2022-06-02
154-1-000007,북구청앞1주차장,공영,노상,대구광역시 북구 원대로 110,대구광역시 북구 침산3동 447-2,21,1,미시행,평일,8:00,18:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,100000,현금,,대구시설공단,053-1577-6446,35.88717773,128.583152,2022-06-02
154-1-000008,북구청앞2주차장,공영,노상,대구광역시 북구 원대로 101,대구광역시 북구 노원1가 339,15,1,미시행,평일,8:00,18:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,100000,현금,,대구시설공단,053-1577-6446,35.886335,128.5820012,2022-06-02
154-1-000009,삼양감속기앞주차장,공영,노상,대구광역시 북구 오봉로 57,대구광역시 북구 노원 2가 4,99,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,60000,현금,,대구시설공단,053-1577-6446,35.8928748,128.5772494,2022-06-02
154-1-000010,풍국면앞주차장,공영,노상,대구광역시 북구 노원로 31,대구광역시 북구 노원동3가 370,16,2,미시행,평일,7:00,16:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,6000,60000,현금,,대구시설공단,053-1577-6446,35.89224086,128.565938,2022-06-02
154-1-000011,신천교고가도로밑주차장,공영,노상,대구광역시 북구 칠성시장로 28,대구광역시 북구 칠성동1가 276,48,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금,,대구시설공단,053-1577-6446,35.87695466,128.604501,2022-06-02
154-1-000012,칠성시장고가도로밑주차장,공영,노상,대구광역시 북구 칠성시장로 101,대구광역시 북구 칠성동2가 400-21,78,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금,,대구시설공단,053-1577-6446,35.8825979,128.600707,2022-06-02
154-1-000014,칠성꽃시장앞주차장,공영,노상,대구광역시 북구 칠성남로 233,대구광역시 북구 칠성동2가 276-85,38,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금,,대구시설공단,053-1577-6446,35.8761767,128.6057926,2022-06-02
154-1-000015,칠성농협앞주차장,공영,노상,대구광역시 북구 칠성시장로 29,대구광역시 북구 칠성동1가 164-8,34,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-1577-6446,35.8766329,128.6035994,2022-06-02
154-1-000016,칠성시장남편주차장,공영,노상,대구광역시 북구 칠성시장로 28,대구광역시 북구 칠성동1가 276,33,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-1577-6446,35.87695466,128.604501,2022-06-02
154-1-000017,칠성시장북편주차장,공영,노상,대구광역시 북구 칠성시장로 42,대구광역시 북구 칠성동1가 275-6,27,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-1577-6446,35.87781729,128.6034808,2022-06-02
154-1-000018,칠성시장서편주차장,공영,노상,대구광역시 북구 공평로 144-8,대구광역시 북구 칠성동1가 236-1,26,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-1577-6446,35.8770217,128.6017623,2022-06-02
154-1-000019,칠성전자상가주차장,공영,노상,대구광역시 북구 칠성가구시장로2길 8,대구광역시 북구 칠성동1가 279-1,9,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,,,현금+카드,,대구시설공단,053-1577-6446,35.87494159,128.6072007,2022-06-02
154-1-000020,만평R북편주차장,공영,노상,대구광역시 북구 팔달로 105 만평역,대구광역시 북구 노원동3가 252-3,34,2,미시행,평일+토요일+공휴일,8:00,19:00,8:00,19:00,8:00,19:00,유료,30,300,10,150,,3000,40000,현금,,대구시설공단,053-1577-6446,35.88983657,128.5610731,2022-06-02
154-1-000022,칠성시장광로주차장,공영,노상,대구광역시 북구 칠성시장로 28,대구광역시 북구 칠성동1가 276,66,1,미시행,평일,7:00,17:00,0:00,0:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금+카드,,대구시설공단,053-1577-6446,35.87695466,128.604501,2022-06-02
154-1-000023,한국농촌공사앞주차장,공영,노상,대구광역시 북구 구암로 158,대구광역시 북구 구암동 761-2,40,3,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,,4000,,현금,,대구시설공단,053-1577-6446,35.9313747,128.557711,2022-06-02
154-2-000001,신천둔치주차장,공영,노외,대구광역시 북구 칠성시장로 54,대구광역시 북구 칠성동2가 656-1,406,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,500,10,250,,5000,50000,현금+카드,,대구시설공단,053-421-7114,35.87892324,128.6029893,2022-06-02
154-2-000024,팔달신시장주차장,공영,노외,대구광역시 북구 노원로 32,대구광역시 북구 노원동3가 883-3,158,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,300,10,150,,3000,,카드,,대구시설공단,053-353-8969,35.8915511,128.5664937,2022-06-02
154-2-000025,칠성공영주차장,공영,노외,대구광역시 북구 칠성남로 196,대구광역시 북구 칠성동1가 184-10,145,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,500,10,250,,5000,50000,카드,,대구시설공단,053-421-9405,35.8761528,128.6016615,2022-06-02
154-2-000026,서변1주차장,공영,노외,대구광역시 북구 호국로 43길 20,대구광역시 북구 서변동 1778,83,3,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,,4000,40000,카드,,대구시설공단,053-1577-6446,35.9213327,128.5970475,2022-06-02
154-2-000027,서변2주차장,공영,노외,대구광역시 북구 호국로 43길 17,대구광역시 북구 서변동 1792,85,3,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,400,10,200,,4000,40000,현금,,대구시설공단,053-1577-6446,35.9209007,128.5971581,2022-06-02
154-2-000028,올브랜서편주차장,공영,노외,대구광역시 북구 유통단지로8길 33,대구광역시 북구 산격동 1640,99,3,미시행,평일+토요일+공휴일,8:00,18:00,8:00,18:00,8:00,18:00,유료,30,200,10,100,,4000,40000,카드,,대구시설공단,053-382-6446,35.9040048,128.6086279,2022-06-02
154-2-000030,COSTCO서편주차장,공영,노외,대구광역시 북구 유통단지로 24길 42,대구광역시 북구 산격동 1739,108,3,미시행,평일+토요일+공휴일,8:00,18:00,8:00,18:00,8:00,18:00,유료,30,200,10,100,,4000,40000,카드,,대구시설공단,053-382-6446,35.905999,128.6171313,2022-06-02
154-2-000031,한국패션센터주차장,공영,노외,대구광역시 북구 유통단지로14길 17,대구광역시 북구 산격동 1670,55,3,미시행,평일+토요일+공휴일,8:00,18:00,8:00,18:00,8:00,18:00,유료,30,200,10,100,,4000,40000,카드,,대구시설공단,053-382-6446,35.9061485,128.6117408,2022-06-02
154-2-000032,대현2동주차장,공영,노외,대구광역시 북구 대현남로10길 12,대구광역시 북구 대현동 393-1,48,1,미시행,평일+토요일,11:00,20:00,11:00,20:00,0:00,0:00,유료,30,500,10,250,,5000,50000,현금+카드,,대구시설공단,053-1577-6446,35.8820402,128.6087412,2022-06-02
154-2-000033,우편집중국주차장,공영,노외,,대구광역시 북구 산격동 1576,25,3,미시행,평일+토요일+공휴일,8:00,18:00,8:00,18:00,8:00,18:00,유료,30,200,10,100,,4000,40000,카드,,대구시설공단,053-382-6446,35.90954306,128.612861,2022-06-02
154-2-000034,신기공원주차장,공영,노외,,대구광역시 북구 산격동 1616,58,3,미시행,평일+토요일+공휴일,8:00,18:00,8:00,18:00,8:00,18:00,유료,30,200,10,100,,4000,40000,카드,,대구시설공단,053-382-6446,35.9075162,128.6081124,2022-06-02
155-1-000002,중동시장앞주차장,공영,노상,대구광역시 수성구 청수로 29,대구광역시 수성구 중동 414-11,34,2,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,300,10,150,,3000,40000,현금,,대구시설공단,053-1577-6446,35.8411758,128.6114873,2022-06-02
155-1-000003,대구은행범어동지점주차장,공영,노상,대구광역시 수성구 상록로 4,대구광역시 수성구 범어동 557-10,82,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,10,500,,10000,50000,현금,,대구시설공단,053-1577-6446,35.8597457,128.6242787,2022-06-02
155-2-000001,어린이회관주차장,공영,노외,대구광역시 수성구 동대구로 194,대구광역시 수성구 황금동 635-6,199,기타,미시행,평일+토요일+공휴일,7:00,19:00,7:00,19:00,7:00,19:00,유료,120,2000,,,,10000,,카드,,대구시설공단,053-1577-6446,35.8476818,128.6253323,2022-06-02
155-2-000004,지산근린공원주차장,공영,노외,대구광역시 수성구 용학로 267,대구광역시 수성구 지산동 1274,133,기타,미시행,평일+토요일+공휴일,8:00,23:00,8:00,23:00,8:00,23:00,유료,60,1000,,,,2000,20000,카드,,대구시설공단,053-782-7913,35.82093452,128.6376141,2022-06-02
155-2-000005,범물근린공원주차장,공영,노외,대구광역시 수성구 지범로 232,대구광역시 수성구 범물동 1328-2,127,기타,미시행,평일,8:00,19:00,0:00,0:00,0:00,0:00,유료,60,1000,,,,2000,20000,현금,,대구시설공단,053-782-6445,35.818481,128.643325,2022-06-02
155-2-000006,시지근린공원주차장,공영,노외,대구광역시 수성구 달구벌대로637길 5,대구광역시 수성구 매호동 1330-2,136,기타,미시행,평일+토요일+공휴일,8:00,22:00,8:00,22:00,8:00,22:00,유료,60,1000,,,,2000,20000,카드,,대구시설공단,053-792-6444,35.84136103,128.7060404,2022-06-02
155-2-000007,신매1공영주차장,공영,노외,대구광역시 수성구 신매로19길 40,대구광역시 수성구 신매동 568-12,38,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,0:00,0:00,유료,30,300,10,150,,3000,,카드,,대구시설공단,053-1577-6446,35.8394418,128.707541,2022-06-02
155-2-000008,신매2공영주차장,공영,노외,대구광역시 수성구 신매로19길 62,대구광역시 수성구 신매동 568,54,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,0:00,0:00,유료,30,300,10,150,,3000,,카드,,대구시설공단,053-1577-6446,35.8396854,128.7062757,2022-06-02
155-2-000009,신매3공영주차장,공영,노외,대구광역시 수성구 고산로 75,대구광역시 수성구 신매동 566-4,67,2,미시행,평일+토요일,8:00,17:00,8:00,17:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.8374745,128.7037829,2022-06-02
155-2-000010,외환들공영주차장,공영,노외,대구광역시 수성구 미술관로 40,대구광역시 수성구 삼덕동 360-4,643,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대구시설공단,053-1577-6446,35.82702838,128.674339,2022-06-02
156-1-000015,달서대로주차장,공영,노상,대구광역시 달서구 달서대로 411,대구광역시 달서구 호림동 16,132,3,미시행,평일+토요일+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,유료,30,200,10,100,,2000,0,현금+카드,월요일 휴무,대구시설공단,053-1577-6446,35.8358511,128.4913926,2022-06-02
156-2-000001,용산1공영주차장,공영,노외,대구광역시 달서구 달구벌대로301길 187-21,대구광역시 달서구 용산동 933-4,73,2,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,300,10,150,,3000,40000,현금+카드,,대구시설공단,053-1577-6446,35.857512,128.531187,2022-06-02
156-2-000002,용산2공영주차장,공영,노외,대구광역시 달서구 용산서로 10,대구광역시 달서구 용산동 931-4,83,2,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.8577921,128.5295733,2022-06-02
156-2-000003,본리1공영주차장,공영,노외,대구광역시 달서구 대명천로 281,대구광역시 달서구 본리동 1196,56,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.84157287,128.5295663,2022-06-02
156-2-000004,본리2공영주차장,공영,노외,대구광역시 달서구 대명천로 281,대구광역시 달서구 본리동 1196,59,2,미시행,평일+토요일,10:00,21:00,10:00,21:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.84157287,128.5295663,2022-06-02
156-2-000005,호림1공영주차장,공영,노외,대구광역시 달서구 달서대로85길 19,대구광역시 달서구 호림동 13-10,203,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200,10,100,,2000,20000,현금,월요일 휴무,대구시설공단,053-1577-6446,35.8371079,128.4894732,2022-06-02
156-2-000006,호림2공영주차장,공영,노외,대구광역시 달서구 성서공단로11길 38-13,대구광역시 달서구 호림동 12-1,332,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200,10,100,,2000,20000,카드,월요일 휴무,대구시설공단,053-1577-6446,35.838619,128.489603,2022-06-02
156-2-000007,호산공영주차장,공영,노외,대구광역시 달서구 성서공단로11길 90-15,대구광역시 달서구 호산동 714-1,111,3,미시행,평일,10:00,19:00,0:00,0:00,0:00,0:00,유료,30,200,10,100,,2000,20000,현금+카드,,대구시설공단,053-1577-6446,35.8433585,128.4897994,2022-06-02
156-2-000008,진천환승주차장,공영,노외,대구광역시 달서구 진천로7길 27,대구광역시 달서구 진천동 493-7,180,3,미시행,평일,8:00,17:00,0:00,0:00,0:00,0:00,유료,30,200,10,100,,2000,20000,카드,,대구시설공단,053-1577-6446,35.8111956,128.5239701,2022-06-02
156-2-000009,용산환승주차장,공영,노외,대구광역시 달서구 한들로 13,대구광역시 달서구 장기동 810-4,204,2,미시행,평일+토요일+공휴일,7:00,18:00,7:00,18:00,7:00,18:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.8481177,128.5290805,2022-06-02
156-2-000010,장기공영주차장,공영,노외,대구광역시 달서구 장기로57동길 6,대구광역시 달서구 장기동 817-1,24,2,미시행,평일,10:00,21:00,0:00,0:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.8430873,128.5296809,2022-06-02
156-2-000011,상인1공영주차장,공영,노외,대구광역시 달서구 상인서로 20,대구광역시 달서구 상인동 1552-6,84,2,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-382-6446,35.812764,128.5462468,2022-06-02
156-2-000012,상인2공영주차장,공영,노외,대구광역시 달서구 상인서로 36,대구광역시 달서구 상인동 1528-3,65,2,미시행,평일+토요일,9:00,20:00,9:00,20:00,0:00,0:00,유료,30,300,10,150,,3000,40000,카드,,대구시설공단,053-1577-6446,35.81403994,128.5449802,2022-06-02
156-2-000013,월촌공원주차장,공영,노외,대구광역시 달서구 상인로 68-4,대구광역시 달서구 상인동 1559,145,기타,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,8:00,18:00,유료,60,1000,,1000,,2000,20000,카드,월요일 휴무,대구시설공단,053-1577-6446,35.812763,128.5489521,2022-06-02
156-2-000014,서촌공영주차장,공영,노외,대구광역시 달서구 새방로 43,대구광역시 달서구 용산동 438-2,75,3,미시행,평일,10:00,19:00,0:00,0:00,0:00,0:00,유료,30,200,10,100,,2000,20000,현금+카드,,대구시설공단,053-1577-6446,35.86295332,128.5222116,2022-06-02
156-2-000015,와룡공원지하주차장,공영,노외,,대구광역시 달서구 이곡동 1191-2,93,2,미시행,평일+토요일+공휴일,7:00,23:00,7:00,23:00,7:00,23:00,유료,30,300,10,150,,3000,40000,현금+카드,,대구시설공단,053-581-1530,35.85660464,128.500698,2022-06-02
156-2-000016,상인공영주차장,공영,노외,대구광역시 달서구 상인서로 103-5,대구광역시 달서구 상인1동 1510,282,3,미시행,평일+토요일+공휴일,6:00,23:00,6:00,23:00,6:00,23:00,유료,30,400,10,200,,4000,40000,카드,,대구시설공단,053-638-6446,35.81810465,128.5398374,2022-06-02
